,,,,,,,,,,,,
تسلسل,اسم المشروع,المحافظة,الشركة المنفذة للمشروع,الاسباب,تاريخ تقديم أالمدد من قبل المهندس المقيم الى اللجنة المختصة او التنفيذ,تاريخ الانجاز المتوقع,تاريخ الارسال,(مدد+امر غيار) قسم التخطيط,تاريخ الانجاز المتوقع قسم التخطيط,تاريخ الارسال الى دائرة العقود,رفم الكتاب المصادقة عليه,تاريخ الكتاب
,,,,,,,الى دائرة العقود,,,,,
1,تجهيز وتنفيذ محطة معالجة /الجانب الأيسر لمدينة الموصل (المرحلة الأولى ),نينوى,شركة العراق الحر للمقاولات العامة وشركة الدواية للمقاولات,,"Thu, 17 Apr 2025 00:00:00 GMT","Sun, 27 Apr 2025 00:00:00 GMT",,,,,,
2,تجهيز وتنفيذ الخطوط الناقلة المطرية مع محطتي الرفع (SL46وSL47)الجانب الأيسر /الموصل,نينوى,شركتي السراب الحديث وتلال الموصل للمقاولات,,,,,,,,,
3,تجهيز وتنفيذ محطة معالجة الجانب الايمن لمدينة الموصل/ م2,نينوى,شركات نجران والواجهات الحديثة وبيكارون للمقاولات,,,,,,,,,
4,مقاولة اعداد دراسة وتصاميم مشروع مجاري محطة معالجة مع شبكات الامطار والمجاري الثقيلة و الفرعية والرئيسية ومحطات الرفع لناحية الصينية,صلاح الدين,شركتي دار العمران ومصابيح الدجى للمقاولات,,,,,,,,,
5,تجهيز وتنفيذ وتشغيل وصيانة الاعمال التكميلية لمشروع مجاري شبكات مياه الامطار وشبكات المياه الثقيلة مع محطات الرفع ومحطة المعالجة لمدينة الخالص,ديالى,بيروت ومرسى الخيرات وبرج حديثة للمقاولات,,,,,,,,,
6,تجهيز وتنفيذ وتشغيل وصيانة الاعمال التكميلية لشبكات مياه الامطار والثقيلة مع محطات الرفع ومحطة المعالجة لمدينة بعقوبة م 2 / محافظة ديالى,ديالى,البعد الرابع للمقاولات العامة والاستثمارات,,,,,,,,,
7,الصرف الصحي المتكامل مع وحدة معالجة مدينة هيت في الانبار,الأنبار,شركة به را للمقاولات وشركة بوزو للمقاولات,,,,,,,,,
8,تطوير وتأهيل البنى التحتية لقضاء الحي,واسط,شركة الاحتفاد للمقاولات,,,,,,,,,
9,اعداد الدراسة والتصاميم وتنفيذ وتجهيز وتشغيل وصيانة مشروع مجاري شبكات مياه الامطار والثقيلة مع محطات الرفع ومحطة المعالجة لقضاء المهناوية / محافظة الديوانية,الديوانية,ائتلاف شركات نبض الرافدين للمقاولات وبرج حديثة للمقاولات,,,,,,,,,
10,اعداد الدراسة والتصاميم وتنفيذ وتجهيز وتشغيل وصيانة مشروع مجاري شبكات مياه الامطار والثقيلة مع محطات الرفع ومحطة المعالجة لقضاء السنية / محافظة الديوانية,الديوانية,ائتلاف شركات ارض الهدى للمقاولات و البراق للمقاولات,,,,,,,,,
11,اعداد الدراسة والتصاميم وتنفيذ وتجهيز وتشغيل وصيانة مشروع مجاري شبكات مياه الأمطار والثقيلة مع محطات الرفع ومحطة المعالجة لقضاء سومر,الديوانية,ائتلاف شركات الواجهات الحديثة وافاق الجاد وديار ربيعة للمقاولات,,,,,,,,,
12,الاعمال التكميلية تجهيز وتنفيذ محطة معالجة الرفاعي بطاقة تصميمية (60000) م3/يوم (تنفيذ على حساب ناكل شركة البارح),ذي قار,شركة المثقال + شركة منارة بيروت للمقاولات العامة,,,,,,,,,
13,أعداد الدراسة والتصاميم لمشروع مجاري (محطة معالجه مع شبكات مجاري الأمطار ومجاري الثقيلة ألفرعيه والرئيسية ومحطات الرفع لمدينه ألشطرة مع تجهيز وتنفيذ وصيانة المرحلة الأولى للمشروع (تسليم مفتاح),ذي قار,شركة عمر أب الإيرانية + شركة عبد الواحد,,,,,,,,,
14,تجهيز وتنفيذ وتشغيل وصيانة لمحطة المعالجة (مركز تصفية حمدان م5),البصرة,شركة الفاروق العامة للمقاولات وشريكه مجموعة بو غصيان للصناعة والاستثمار,,,,,,,,,
15,تدقيق تصاميم وتجهيز وتنفيذ وتشغيل وصيانة شبكة ومحطة مجارى برطلة /نينوى بطاقة تصميمية (4942)م3/يوم,نينوى,شركة دار العمران للمقاولات العامة المحدودة,,,,,,,,,
16,تجهيز وتنفيذ الخطوط الناقلة للمجارى الثقيلة مع اربع محطات رفع لمدينة الموصل /الجانب الايسر/المرحلة الرابعة,نينوى,شركتي بريق الحسام والافنان الخضراء,,,,,,,,,
17,تجهيز وتنفيذ محطة معالجة الجانب الايمن لمدينة الموصل / م1,نينوى,شركتي بريق الحسام والافنان الخضراء,,,,,,,,,
18,تجهيز وتنفيذ محطة معالجة /الجانب الأيسر لمدينة الموصل (المرحلة الثانية ),نينوى,شركة قنج للانشاءات التركية,,,,,,,,,
19,تجهيز وتنفيذ الخطوط الناقله المطرية مع محطة الرفع الجانب الايمن لمدينة الموصل م4,نينوى,شركة بلتك المحدودة للتنظيم والهندسة والاعلام والاملاك والدعاية والسياحة والبناء والتجارة,,,,,,,,,
20,مشروع شبكات المجاري / الجانب الايمن / مدينة الموصل,نينوى,شركات اثار الوركاء ورأس الخيمة وشمس البناء للمقاولات,,,,,,,,,
