1,الديوانية,شبكات مجاري الصرف الصحي والامطار والخطوط الناقلة ومحطات الرفع التابعة لها وخطوط الدفع ومحطة معالجة ناحية السدير / محافظة الديوانية,مدرج,مؤشر,43.3,اعلان,جداول كميات,تم الإعلان,,✅,✅,✅,✅,✅,6\4\2025,,,,,,
2,,اعداد الدراسة والتصاميم وتنفيذ وتجهيز وتشغيل وصيانة مشروع مجاري شبكات مياه الامطار والثقيلة مع محطات الرفع ومحطة المعالجة لقضاء السنية / تسليم مفتاح,مدرج,مؤشر,30,اعلان,تصميم و تنفيذ,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,
3,,اعداد الدراسة والتصاميم وتنفيذ وتجهيز وتشغيل وصيانة مشروع مجاري شبكات مياه الامطار والثقيلة مع محطات الرفع ومحطة المعالجة لقضاء سومر / تسليم مفتاح,مدرج,مؤشر,30.8,اعلان,تصميم و تنفيذ,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,
4,,اعداد الدراسة والتصاميم وتنفيذ وتجهيز وتشغيل وصيانة مشروع مجاري شبكات مياه الامطار والثقيلة مع محطات الرفع ومحطة المعالجة لقضاء المهناوية / تسليم مفتاح,مدرج,مؤشر,27.8,اعلان,تصميم و تنفيذ,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,
5,,مشروع تأهيل الاحياء السكنية في محافظة الديوانية,مدرج,مؤشر,290.8,اعلان,جداول كميات,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,
6,,نفر,مدرج,مؤشر,36,دعوى,جداول كميات,,✅,✅,✅,✅,✅,تم الغاء الدعوات,,,,,,,
7,,عفك,مدرج,مؤشر,181.4,دعوى,جداول كميات,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,
8,,ال بدير,مدرج,مؤشر,18,دعوى,تصميم و تنفيذ,,✅,✅,✅,✅,✅,24\2\2025,24\2\2025,✅,,,,,
9,,الشامية,مدرج,مؤشر,18,دعوى,تصميم و تنفيذ,,✅,✅,✅,✅,✅,4\3\2025,4\3\2025,✅,,,,,
10,,الشنافية,مدرج,مؤشر,18,دعوى,تصميم و تنفيذ,,✅,✅,✅,✅,✅,12\3\2025,12\3\2025,,,,,,
11,,محطة 21,مدرج,مؤشر,61.9,دعوى,جداول كميات,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,,,
12,,الشافعية,مدرج,مؤشر,61.6,دعوى,جداول كميات,,✅,✅,✅,✅,✅,14/5/2025,14/5/2025,,,,,,
13,,صلاحية,مدرج,مؤشر,27.1,دعوى,جداول كميات,,✅,✅,✅,✅,✅,"Wed, 07 May 2025 00:00:00 GMT","Wed, 07 May 2025 00:00:00 GMT",,,,,,
14,,اكمال اعمال 2 و 3,مدرج,مؤشر,13.9,دعوى,جداول كميات,,✅,✅,✅,✅,✅,16\3\2025,16\3\2025,,,,,,
6,الانبار,تنفيذ مشروع مجاري الصرف الصحي وشبكات مجاري مياه الامطار في ناحية كبيسة / محافظة الانبار (البنى التحتية),مدرج,مؤشر,83.3,دعوى,جداول كميات,,✅,,,,,,,,,,,,
7,,تنفيذ مشروع مجاري الصرف الصحي وشبكات مجاري مياه الامطار في ناحية عنة / محافظة الانبار (البنى التحتية),مدرج,مؤشر,85.1,دعوى,جداول كميات,,✅,✅,✅,✅,✅,"Mon, 27 Jan 2025 00:00:00 GMT","Mon, 27 Jan 2025 00:00:00 GMT",✅,✅,مفاوضات مع الشركة,,,
8,,مشروع مجاري الرمادي / المرحلة الثانية,غير مدرج,غير مؤشر,347.4,اعلان,جداول كميات,,,,,,,,,,,,,,
9,,مجاري الصرف الصحي وشبكة مجاري مياه الامطار ناحية الصقلاوية,غير مدرج,غير مؤشر,109.7,اعلان,جداول كميات,,,,,,,,,,,,,,
10,,مجاري الصرف الصحي وشبكة امطار الفلوجة / zone 5,غير مدرج,غير مؤشر,148.1,اعلان,جداول كميات,,,,,,,,,,,,,,
11,,تجهيز وتنفيذ محطات رفع قطاع (14 و 15) في الرمادي,غير مدرج,غير مؤشر,29.1,دعوى,جداول كميات,,,,,,,,,,,,,,
12,,الفلوجة,مدرج,مؤشر,17.2,دعوى,جداول كميات,,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,✅,
12,المثنى,الخط الناقل لمياه الصرف الصحي في قضاء السوير الى محطة المعالجة / محافظة المثنى,مدرج,مؤشر,1.9,اعلان,جداول كميات,تم الإعلان,,✅,✅,✅,✅,"Sun, 06 Apr 2025 00:00:00 GMT","Sun, 06 Apr 2025 00:00:00 GMT",,,,,,
13,,"تصميم وتنفيذ مشروع مجاري متكاملة في قضاء الخضر محطة معالجة بطاقة (25,000 ) م 3 / يوم مع شبكات ومحطات مياه امطار والصرف الصحي لقضاء الخضر .",مدرج,مؤشر,149.6,دعوى,تصميم و تنفيذ,,✅,,✅,,,,,,,,,,
14,,"اعداد وتحديث وتدقيق التصاميم وتجهيز وتنفيذ شبكات ومحطات مجاري الامطار والصرف الصحي لمدينة السماوه / الصوب الصغير مع تصميم وتنفيذ محطة معالجة بطاقة (50,000 ) م 3 / يوم",مدرج,مؤشر,298.3,دعوى,تصميم و تنفيذ,,✅,,✅,,,,,,,,,,
